Trade #,Type,Date and time,Signal,Price USDT,Position size (qty),Position size (value),Net P&L KRW,Net P&L %,Favorable excursion KRW,Favorable excursion %,Adverse excursion KRW,Adverse excursion %,Cumulative P&L KRW,Cumulative P&L %
1,Exit long,2026-02-12 04:07,ICE_S_4019,67541.4,0.00391,270.938758,-10557.12,-2.63,3633.25,0.91,-20914.04,-5.20,-12756.81,-0.26
1,Entry long,2026-02-10 12:30,ICE_L_1310,69293.8,0.00391,270.938758,-10557.12,-2.63,3633.25,0.91,-20914.04,-5.20,-12756.81,-0.26
2,Exit long,2026-02-12 04:07,ICE_S_4019,67541.4,0.003915,270.959499,-10087.32,-2.51,4118.91,1.03,-20457.49,-5.09,-22644.17,-0.45
2,Entry long,2026-02-10 12:31,ICE_L_1453,69210.6,0.003915,270.959499,-10087.32,-2.51,4118.91,1.03,-20457.49,-5.09,-22644.17,-0.45
3,Exit long,2026-02-12 04:07,ICE_S_4019,67541.4,0.003947,270.9793115,-6913.08,-1.72,7393.91,1.85,-17368.01,-4.32,-29357.26,-0.59
3,Entry long,2026-02-10 15:48,ICE_L_1649,68654.5,0.003947,270.9793115,-6913.08,-1.72,7393.91,1.85,-17368.01,-4.32,-29357.26,-0.59
4,Exit long,2026-02-12 04:07,ICE_S_4019,67541.4,0.003975,270.9395775,-4050.94,-1.01,10343.81,2.59,-14580.03,-3.63,-33208.25,-0.66
4,Entry long,2026-02-10 23:40,ICE_L_1642,68160.9,0.003975,270.9395775,-4050.94,-1.01,10343.81,2.59,-14580.03,-3.63,-33208.25,-0.66
5,Exit long,2026-02-12 04:07,ICE_S_4019,67541.4,0.003962,269.67353,-3474.88,-0.87,4118.64,1.03,-13969.54,-3.49,-36483.16,-0.73
5,Entry long,2026-02-11 12:19,ICE_L_2670,68065,0.003962,269.67353,-3474.88,-0.87,4118.64,1.03,-13969.54,-3.49,-36483.16,-0.73
6,Exit long,2026-02-12 04:07,ICE_S_4019,67541.4,0.003975,269.663205,-2158.08,-0.54,5460.35,1.36,-12687.17,-3.17,-38441.28,-0.77
6,Entry long,2026-02-11 13:23,ICE_L_843,67839.8,0.003975,269.663205,-2158.08,-0.54,5460.35,1.36,-12687.17,-3.17,-38441.28,-0.77
7,Exit long,2026-02-12 04:07,ICE_S_4019,67541.4,0.003988,269.6869048,-891.76,-0.22,6751.58,1.69,-11455.29,-2.86,-39133.07,-0.78
7,Entry long,2026-02-11 13:28,ICE_L_644,67624.6,0.003988,269.6869048,-891.76,-0.22,6751.58,1.69,-11455.29,-2.86,-39133.07,-0.78
8,Exit long,2026-02-12 04:07,ICE_S_4019,67541.4,0.003993,269.6640606,-357.3,-0.09,7295.63,1.82,-10934.07,-2.73,-39290.41,-0.79
8,Entry long,2026-02-11 13:29,ICE_L_2570,67534.2,0.003993,269.6640606,-357.3,-0.09,7295.63,1.82,-10934.07,-2.73,-39290.41,-0.79
9,Exit long,2026-02-12 04:07,ICE_S_4019,67541.4,0.003996,269.7204096,-140.56,-0.04,7518.11,1.88,-10725.29,-2.68,-39230.98,-0.78
9,Entry long,2026-02-11 13:32,ICE_L_856,67497.6,0.003996,269.7204096,-140.56,-0.04,7518.11,1.88,-10725.29,-2.68,-39230.98,-0.78
10,Exit long,2026-02-12 04:07,ICE_S_4019,67541.4,0.004008,269.6987208,1092.98,0.27,8774.66,2.19,-9523.53,-2.38,-37938.01,-0.76
10,Entry long,2026-02-11 15:07,ICE_L_2557,67290.1,0.004008,269.6987208,1092.98,0.27,8774.66,2.19,-9523.53,-2.38,-37938.01,-0.76
11,Exit long,2026-02-12 04:07,ICE_S_4019,67541.4,0.004012,269.7231492,1457.19,0.36,9146.54,2.29,-9169.91,-2.29,-36280.82,-0.73
11,Entry long,2026-02-11 15:07,ICE_L_2745,67229.1,0.004012,269.7231492,1457.19,0.36,9146.54,2.29,-9169.91,-2.29,-36280.82,-0.73
12,Exit long,2026-02-12 04:07,ICE_S_4019,67541.4,0.004092,269.6795772,9530.95,2.38,9735.88,2.43,-1308.06,-0.33,-26549.9,-0.53
12,Entry long,2026-02-12 00:08,ICE_L_3155,65904.1,0.004092,269.6795772,9530.95,2.38,9735.88,2.43,-1308.06,-0.33,-26549.9,-0.53
13,Exit short,2026-02-13 02:55,ICE_L_4299,65438.7,0.003993,269.6928102,12016.33,3.01,12209.43,3.06,-5208.12,-1.31,-14533.57,-0.29
13,Entry short,2026-02-12 04:07,ICE_S_4019,67541.4,0.003993,269.6928102,12016.33,3.01,12209.43,3.06,-5208.12,-1.31,-14533.57,-0.29
14,Exit long,2026-02-13 18:12,ICE_S_5500,66798.7,0.004135,270.5890245,7852.74,1.98,8055.48,2.03,-2392.17,-0.60,-6680.83,-0.13
14,Entry long,2026-02-13 02:55,ICE_L_4299,65438.7,0.004135,270.5890245,7852.74,1.98,8055.48,2.03,-2392.17,-0.60,-6680.83,-0.13
15,Exit short,2026-02-15 22:45,ICE_L_8194,68813.4,0.004079,272.4718973,-12511.78,-3.12,973.05,0.24,-25016.35,-6.23,-20192.52,-0.40
15,Entry short,2026-02-13 18:12,ICE_S_5500,66798.7,0.004079,272.4718973,-12511.78,-3.12,973.05,0.24,-25016.35,-6.23,-20192.52,-0.40
16,Exit short,2026-02-15 22:45,ICE_L_8194,68813.4,0.004068,272.4575544,-11417.35,-2.84,1135.91,0.28,-23888.21,-5.95,-31409.89,-0.63
16,Entry short,2026-02-13 18:47,ICE_S_6196,66975.8,0.004068,272.4575544,-11417.35,-2.84,1135.91,0.28,-23888.21,-5.95,-31409.89,-0.63
17,Exit short,2026-02-15 22:45,ICE_L_8194,68813.4,0.004067,272.4288084,-11358.26,-2.83,1191.73,0.30,-23826.05,-5.93,-42568.19,-0.85
17,Entry short,2026-02-13 18:47,ICE_S_5705,66985.2,0.004067,272.4288084,-11358.26,-2.83,1191.73,0.30,-23826.05,-5.93,-42568.19,-0.85
18,Exit short,2026-02-15 22:45,ICE_L_8194,68813.4,0.003953,272.4727793,267.53,0.07,3199.99,0.80,-11850.77,-2.95,-42100.66,-0.84
18,Entry short,2026-02-14 00:30,ICE_S_4180,68928.1,0.003953,272.4727793,267.53,0.07,3199.99,0.80,-11850.77,-2.95,-42100.66,-0.84
19,Exit short,2026-02-15 22:45,ICE_L_8194,68813.4,0.003944,272.4420544,1135.01,0.28,4057.84,1.01,-10955.7,-2.73,-40765.68,-0.82
19,Entry short,2026-02-14 00:32,ICE_S_5013,69077.6,0.003944,272.4420544,1135.01,0.28,4057.84,1.01,-10955.7,-2.73,-40765.68,-0.82
20,Exit short,2026-02-15 22:45,ICE_L_8194,68813.4,0.003829,271.5519142,11486.29,2.87,11680.35,2.92,-251.89,-0.06,-29079.39,-0.58
20,Entry short,2026-02-15 17:06,ICE_S_9038,70919.8,0.003829,271.5519142,11486.29,2.87,11680.35,2.92,-251.89,-0.06,-29079.39,-0.58
21,Exit long,2026-02-16 18:36,ICE_S_10353,68990.8,0.003946,271.5376764,636.84,0.16,2211.02,0.55,-4716.27,-1.18,-29042.5,-0.58
21,Entry long,2026-02-15 22:45,ICE_L_8194,68813.4,0.003946,271.5376764,636.84,0.16,2211.02,0.55,-4716.27,-1.18,-29042.5,-0.58
22,Exit long,2026-02-16 18:36,ICE_S_10353,68990.8,0.003964,271.5169548,2509.57,0.62,3065.45,0.76,-2881.81,-0.72,-26332.96,-0.53
22,Entry long,2026-02-16 02:45,ICE_L_9468,68495.7,0.003964,271.5169548,2509.57,0.62,3065.45,0.76,-2881.81,-0.72,-26332.96,-0.53
23,Exit long,2026-02-16 18:36,ICE_S_10353,68990.8,0.003965,271.550955,2561.42,0.64,3117.44,0.78,-2831.7,-0.71,-23571.54,-0.47
23,Entry long,2026-02-16 02:45,ICE_L_8001,68487,0.003965,271.550955,2561.42,0.64,3117.44,0.78,-2831.7,-0.71,-23571.54,-0.47
24,Exit long,2026-02-16 18:36,ICE_S_10353,68990.8,0.003988,271.5301584,4945.91,1.23,5505.16,1.37,-496.05,-0.12,-18425.65,-0.37
24,Entry long,2026-02-16 04:06,ICE_L_7986,68086.8,0.003988,271.5301584,4945.91,1.23,5505.16,1.37,-496.05,-0.12,-18425.65,-0.37
25,Exit short,2026-02-17 00:31,ICE_L_10422,67766.4,0.003906,269.4780648,6700.88,1.67,6897.29,1.72,-6565.09,-1.64,-12124.7,-0.24
25,Entry short,2026-02-16 18:36,ICE_S_10353,68990.8,0.003906,269.4780648,6700.88,1.67,6897.29,1.72,-6565.09,-1.64,-12124.7,-0.24
26,Exit short,2026-02-17 00:31,ICE_L_10422,67766.4,0.003897,269.4904101,7624.73,1.91,7820.69,1.95,-5610.68,-1.40,-4300.01,-0.09
26,Entry short,2026-02-16 21:26,ICE_S_10378,69153.3,0.003897,269.4904101,7624.73,1.91,7820.69,1.95,-5610.68,-1.40,-4300.01,-0.09
27,Exit short,2026-02-17 00:31,ICE_L_10422,67766.4,0.003877,269.5088796,9664.44,2.42,9859.39,2.46,-3503.04,-0.88,5564.41,0.11
27,Entry short,2026-02-16 21:28,ICE_S_10807,69514.8,0.003877,269.5088796,9664.44,2.42,9859.39,2.46,-3503.04,-0.88,5564.41,0.11
28,Exit long,2026-02-17 05:59,ICE_S_11325,68534.6,0.003977,269.5069728,4131.6,1.03,4333.84,1.08,-3322.06,-0.83,7923.45,0.16
28,Entry long,2026-02-17 00:31,ICE_L_10422,67766.4,0.003977,269.5069728,4131.6,1.03,4333.84,1.08,-3322.06,-0.83,7923.45,0.16
29,Exit long,2026-02-17 05:59,ICE_S_11325,68534.6,0.015661,1060.2497,17813.77,1.13,18610.17,1.18,-11537.96,-0.73,26523.92,0.53
29,Entry long,2026-02-17 00:31,ICE_L_10295,67700,0.015661,1060.2497,17813.77,1.13,18610.17,1.18,-11537.96,-0.73,26523.92,0.53
30,Exit long,2026-02-17 05:59,ICE_S_11325,68534.6,0.015666,1059.134395,19977.98,1.27,20774.64,1.32,-9383.11,-0.60,47287.78,0.95
30,Entry long,2026-02-17 00:31,ICE_L_10409,67607.2,0.015666,1059.134395,19977.98,1.27,20774.64,1.32,-9383.11,-0.60,47287.78,0.95
31,Exit long,2026-02-17 05:59,ICE_S_11325,68534.6,0.004007,269.5048095,7184.45,1.80,7388.21,1.85,-325.44,-0.08,54672.2,1.09
31,Entry long,2026-02-17 00:36,ICE_L_10915,67258.5,0.004007,269.5048095,7184.45,1.80,7388.21,1.85,-325.44,-0.08,54672.2,1.09
32,Exit short,2026-02-17 14:20,ICE_L_11714,68114,0.003932,269.4780472,2051,0.51,2249.32,0.56,-4285.57,-1.07,56523.21,1.13
32,Entry short,2026-02-17 05:59,ICE_S_11325,68534.6,0.003932,269.4780472,2051,0.51,2249.32,0.56,-4285.57,-1.07,56523.21,1.13
33,Exit short,2026-02-17 14:20,ICE_L_11714,68114,0.003903,270.0751104,5862.1,1.46,6058.97,1.51,-427.74,-0.11,62585.31,1.25
33,Entry short,2026-02-17 11:12,ICE_S_11342,69196.8,0.003903,270.0751104,5862.1,1.46,6058.97,1.51,-427.74,-0.11,62585.31,1.25
34,Exit long,2026-02-18 01:02,ICE_S_12478,67760.1,0.003965,270.07201,-2477.1,-0.62,1992.09,0.50,-9290.1,-2.32,59108.32,1.18
34,Entry long,2026-02-17 14:20,ICE_L_11714,68114,0.003965,270.07201,-2477.1,-0.62,1992.09,0.50,-9290.1,-2.32,59108.32,1.18
35,Exit long,2026-02-18 01:02,ICE_S_12478,67760.1,0.004016,270.0494944,2671.69,0.67,2873.2,0.72,-4228.94,-1.06,61979.99,1.24
35,Entry long,2026-02-17 23:42,ICE_L_12158,67243.4,0.004016,270.0494944,2671.69,0.67,2873.2,0.72,-4228.94,-1.06,61979.99,1.24
36,Exit long,2026-02-18 01:02,ICE_S_12478,67760.1,0.004024,270.0607,3457.51,0.86,3659.42,0.91,-3456.87,-0.86,65637.48,1.31
36,Entry long,2026-02-17 23:42,ICE_L_10765,67112.5,0.004024,270.0607,3457.51,0.86,3659.42,0.91,-3456.87,-0.86,65637.48,1.31
37,Exit long,2026-02-18 01:02,ICE_S_12478,67760.1,0.004027,270.0780036,3732.78,0.93,3934.84,0.98,-3186.76,-0.80,69570.25,1.39
37,Entry long,2026-02-17 23:43,ICE_L_11859,67066.8,0.004027,270.0780036,3732.78,0.93,3934.84,0.98,-3186.76,-0.80,69570.25,1.39
38,Exit long,2026-02-18 01:02,ICE_S_12478,67760.1,0.004031,270.0338683,4199.39,1.05,4401.65,1.10,-2727.02,-0.68,73969.59,1.48
38,Entry long,2026-02-17 23:43,ICE_L_12308,66989.3,0.004031,270.0338683,4199.39,1.05,4401.65,1.10,-2727.02,-0.68,73969.59,1.48
39,Exit long,2026-02-18 01:02,ICE_S_12478,67760.1,0.004048,270.0635344,5860.57,1.46,6063.69,1.52,-1095.05,-0.27,80030.15,1.60
39,Entry long,2026-02-17 23:50,ICE_L_11025,66715.3,0.004048,270.0635344,5860.57,1.46,6063.69,1.52,-1095.05,-0.27,80030.15,1.60
40,Exit short,2026-02-18 19:43,ICE_L_13593,67769.9,0.003985,270.0239985,-457.6,-0.11,5196.64,1.30,-4192.17,-1.05,79572.55,1.59
40,Entry short,2026-02-18 01:02,ICE_S_12478,67760.1,0.003985,270.0239985,-457.6,-0.11,5196.64,1.30,-4192.17,-1.05,79572.55,1.59
41,Exit long,2026-02-20 14:32,ICE_S_15531,67609.9,0.003988,270.2663612,-1340.02,-0.34,3078.11,0.77,-13041.88,-3.25,77232.7,1.54
41,Entry long,2026-02-18 19:43,ICE_L_13593,67769.9,0.003988,270.2663612,-1340.02,-0.34,3078.11,0.77,-13041.88,-3.25,77232.7,1.54
42,Exit long,2026-02-20 14:32,ICE_S_15531,67609.9,0.004046,270.2339584,4488.94,1.13,8991.13,2.25,-7347.45,-1.83,81921.61,1.64
42,Entry long,2026-02-18 23:48,ICE_L_13016,66790.4,0.004046,270.2339584,4488.94,1.13,8991.13,2.25,-7347.45,-1.83,81921.61,1.64
43,Exit long,2026-02-20 14:32,ICE_S_15531,67609.9,0.004062,270.220488,6103.61,1.53,6306.15,1.58,-5769.84,-1.44,88225.19,1.76
43,Entry long,2026-02-19 03:42,ICE_L_13798,66524,0.004062,270.220488,6103.61,1.53,6306.15,1.58,-5769.84,-1.44,88225.19,1.76
44,Exit long,2026-02-20 14:32,ICE_S_15531,67609.9,0.004091,269.5011706,10055.17,2.53,10259.15,2.58,-1879.22,-0.47,98480.32,1.97
44,Entry long,2026-02-19 22:45,ICE_L_15009,65876.6,0.004091,269.5011706,10055.17,2.53,10259.15,2.58,-1879.22,-0.47,98480.32,1.97
45,Exit long,2026-02-20 14:32,ICE_S_15531,67609.9,0.004091,269.4774428,10090.18,2.54,10294.17,2.59,-1843.99,-0.46,108770.45,2.18
45,Entry long,2026-02-19 22:45,ICE_L_15117,65870.8,0.004091,269.4774428,10090.18,2.54,10294.17,2.59,-1843.99,-0.46,108770.45,2.18
46,Exit long,2026-02-20 14:32,ICE_S_15531,67609.9,0.004104,269.5109112,11336.56,2.85,11541.2,2.90,-628.13,-0.16,120306.99,2.41
46,Entry long,2026-02-19 23:34,ICE_L_10903,65670.3,0.004104,269.5109112,11336.56,2.85,11541.2,2.90,-628.13,-0.16,120306.99,2.41
47,Exit short,2026-02-20 20:59,ICE_L_16519,67284.6,0.004011,271.1833089,1525.51,0.38,1724.55,0.43,-4211.79,-1.05,121432.56,2.43
47,Entry short,2026-02-20 14:32,ICE_S_15531,67609.9,0.004011,271.1833089,1525.51,0.38,1724.55,0.43,-4211.79,-1.05,121432.56,2.43
48,Exit short,2026-02-20 20:59,ICE_L_16519,67284.6,0.003995,271.142248,3053.69,0.76,3251.93,0.81,-2660.73,-0.66,124686.21,2.49
48,Entry short,2026-02-20 14:35,ICE_S_15869,67870.4,0.003995,271.142248,3053.69,0.76,3251.93,0.81,-2660.73,-0.66,124686.21,2.49
49,Exit short,2026-02-20 20:59,ICE_L_16519,67284.6,0.003992,271.174564,3399.22,0.85,3597.31,0.90,-2310.91,-0.58,128285.41,2.57
49,Entry short,2026-02-20 14:45,ICE_S_16049,67929.5,0.003992,271.174564,3399.22,0.85,3597.31,0.90,-2310.91,-0.58,128285.41,2.57
50,Exit long,2026-02-21 18:17,ICE_S_17789,68106.6,0.00403,271.156938,4474.25,1.12,5348.39,1.34,-5291.23,-1.32,132359.72,2.65
50,Entry long,2026-02-20 20:59,ICE_L_16519,67284.6,0.00403,271.156938,4474.25,1.12,5348.39,1.34,-5291.23,-1.32,132359.72,2.65
51,Exit long,2026-02-21 18:17,ICE_S_17789,68106.6,0.004063,271.1715271,7759.45,1.94,8647.37,2.16,-2079.37,-0.52,140319.17,2.81
51,Entry long,2026-02-20 22:38,ICE_L_16552,66741.7,0.004063,271.1715271,7759.45,1.94,8647.37,2.16,-2079.37,-0.52,140319.17,2.81
52,Exit long,2026-02-21 18:17,ICE_S_17789,68106.6,0.004075,271.125235,9030.06,2.26,9923.14,2.48,-835.28,-0.21,149549.19,2.99
52,Entry long,2026-02-20 22:39,ICE_L_16563,66533.8,0.004075,271.125235,9030.06,2.26,9923.14,2.48,-835.28,-0.21,149549.19,2.99
53,Exit short,2026-02-22 05:59,ICE_L_18537,68158.4,0.003989,271.6772274,-704.22,-0.18,1084.21,0.27,-3600.91,-0.90,148245.06,2.96
53,Entry short,2026-02-21 18:17,ICE_S_17789,68106.6,0.003989,271.6772274,-704.22,-0.18,1084.21,0.27,-3600.91,-0.90,148245.06,2.96
54,Exit short,2026-02-22 05:59,ICE_L_18537,68158.4,0.003987,271.6793631,-500.32,-0.13,1287.21,0.32,-3395.55,-0.85,147944.7,2.96
54,Entry short,2026-02-21 18:21,ICE_S_17807,68141.3,0.003987,271.6793631,-500.32,-0.13,1287.21,0.32,-3395.55,-0.85,147944.7,2.96
55,Exit short,2026-02-22 05:59,ICE_L_18537,68158.4,0.003983,271.708311,-56.21,-0.01,1729.53,0.43,-2948.54,-0.74,148088.47,2.96
55,Entry short,2026-02-21 18:21,ICE_S_17390,68217,0.003983,271.708311,-56.21,-0.01,1729.53,0.43,-2948.54,-0.74,148088.47,2.96
56,Exit short,2026-02-22 05:59,ICE_L_18537,68158.4,0.003972,271.6883748,1018.63,0.25,1790.28,0.45,-1865.71,-0.47,149307.06,2.99
56,Entry short,2026-02-21 23:20,ICE_S_18062,68400.9,0.003972,271.6883748,1018.63,0.25,1790.28,0.45,-1865.71,-0.47,149307.06,2.99
57,Exit long,2026-02-23 15:50,ICE_S_20482,65704.8,0.003986,271.6793824,-14788.95,-3.70,1327.91,0.33,-23237.68,-5.81,131518.45,2.63
57,Entry long,2026-02-22 05:59,ICE_L_18537,68158.4,0.003986,271.6793824,-14788.95,-3.70,1327.91,0.33,-23237.68,-5.81,131518.45,2.63
58,Exit long,2026-02-23 15:50,ICE_S_20482,65704.8,0.004017,271.9235844,-12151.71,-3.03,470.67,0.12,-20666.16,-5.16,119566.74,2.39
58,Entry long,2026-02-22 22:35,ICE_L_19465,67693.2,0.004017,271.9235844,-12151.71,-3.03,470.67,0.12,-20666.16,-5.16,119566.74,2.39
59,Exit long,2026-02-23 15:50,ICE_S_20482,65704.8,0.004031,271.9066709,-10773.44,-2.69,1891.98,0.47,-19317.56,-4.82,108993.3,2.18
59,Entry long,2026-02-22 23:05,ICE_L_19489,67453.9,0.004031,271.9066709,-10773.44,-2.69,1891.98,0.47,-19317.56,-4.82,108993.3,2.18
60,Exit long,2026-02-23 15:50,ICE_S_20482,65704.8,0.004031,271.8901438,-10749.1,-2.68,1916.3,0.48,-19293.22,-4.82,98444.17,1.97
60,Entry long,2026-02-22 23:05,ICE_L_18269,67449.8,0.004031,271.8901438,-10749.1,-2.68,1916.3,0.48,-19293.22,-4.82,98444.17,1.97
61,Exit long,2026-02-23 15:50,ICE_S_20482,65704.8,0.004034,271.9141904,-10494.5,-2.62,2180.14,0.54,-19044.98,-4.76,88149.66,1.76
61,Entry long,2026-02-22 23:43,ICE_L_17682,67405.6,0.004034,271.9141904,-10494.5,-2.62,2180.14,0.54,-19044.98,-4.76,88149.66,1.76
62,Exit long,2026-02-23 15:50,ICE_S_20482,65704.8,0.004034,271.8577144,-10411.33,-2.60,2263.26,0.57,-18961.81,-4.74,77938.28,1.56
62,Entry long,2026-02-22 23:43,ICE_L_19454,67391.6,0.004034,271.8577144,-10411.33,-2.60,2263.26,0.57,-18961.81,-4.74,77938.28,1.56
63,Exit long,2026-02-23 15:50,ICE_S_20482,65704.8,0.004068,271.7297892,-6936.32,-1.73,0,0.00,-15558.86,-3.89,71201.96,1.42
63,Entry long,2026-02-23 09:58,ICE_L_19612,66796.9,0.004068,271.7297892,-6936.32,-1.73,0,0.00,-15558.86,-3.89,71201.96,1.42
64,Exit long,2026-02-23 15:50,ICE_S_20482,65704.8,0.004071,271.6887696,-6585.9,-1.65,63.11,0.02,-15214.8,-3.80,64816.02,1.30
64,Entry long,2026-02-23 09:58,ICE_L_17472,66737.6,0.004071,271.6887696,-6585.9,-1.65,63.11,0.02,-15214.8,-3.80,64816.02,1.30
65,Exit long,2026-02-23 15:50,ICE_S_20482,65704.8,0.004092,271.6834296,-4547.98,-1.14,83.74,0.02,-13221.4,-3.30,60468,1.21
65,Entry long,2026-02-23 10:01,ICE_L_20209,66393.8,0.004092,271.6834296,-4547.98,-1.14,83.74,0.02,-13221.4,-3.30,60468,1.21
66,Exit long,2026-02-23 15:50,ICE_S_20482,65704.8,0.0041,271.7111,-3815.38,-0.95,825.4,0.21,-12505.75,-3.13,56852.6,1.14
66,Entry long,2026-02-23 10:01,ICE_L_15759,66271,0.0041,271.7111,-3815.38,-0.95,825.4,0.21,-12505.75,-3.13,56852.6,1.14
67,Exit long,2026-02-23 15:50,ICE_S_20482,65704.8,0.004102,271.6972006,-3601.57,-0.90,1041.47,0.26,-12296.18,-3.07,53451,1.07
67,Entry long,2026-02-23 10:02,ICE_L_16889,66235.3,0.004102,271.6972006,-3601.57,-0.90,1041.47,0.26,-12296.18,-3.07,53451,1.07
68,Exit long,2026-02-23 15:50,ICE_S_20482,65704.8,0.004147,271.7330044,695.81,0.17,896.35,0.22,-8094.18,-2.02,54346.8,1.09
68,Entry long,2026-02-23 10:09,ICE_L_15202,65525.2,0.004147,271.7330044,695.81,0.17,896.35,0.22,-8094.18,-2.02,54346.8,1.09
69,Exit long,2026-02-23 15:50,ICE_S_20482,65704.8,0.004168,271.6919136,2786.38,0.70,2987.93,0.75,-6048.13,-1.51,57333.14,1.15
69,Entry long,2026-02-23 10:10,ICE_L_15233,65185.2,0.004168,271.6919136,2786.38,0.70,2987.93,0.75,-6048.13,-1.51,57333.14,1.15
70,Exit long,2026-02-23 15:50,ICE_S_20482,65704.8,0.004196,271.7384148,5424.63,1.36,5627.54,1.41,-3469.23,-0.87,62957.77,1.26
70,Entry long,2026-02-23 10:46,ICE_L_5233,64761.3,0.004196,271.7384148,5424.63,1.36,5627.54,1.41,-3469.23,-0.87,62957.77,1.26
71,Exit long,2026-02-23 15:50,ICE_S_20482,65704.8,0.004199,271.6941955,5779.76,1.44,5982.82,1.50,-3120.46,-0.78,68937.49,1.38
71,Entry long,2026-02-23 10:46,ICE_L_5298,64704.5,0.004199,271.6941955,5779.76,1.44,5982.82,1.50,-3120.46,-0.78,68937.49,1.38
72,Exit long,2026-02-23 15:50,ICE_S_20482,65704.8,0.004206,271.6806816,6476.34,1.62,6679.74,1.67,-2438.71,-0.61,75613.79,1.51
72,Entry long,2026-02-23 10:47,ICE_L_14142,64593.6,0.004206,271.6806816,6476.34,1.62,6679.74,1.67,-2438.71,-0.61,75613.79,1.51
73,Exit short,2026-02-24 02:36,ICE_L_21136,64494.7,0.004135,271.689348,6969.3,1.74,7165.58,1.79,-5514.89,-1.38,81983.14,1.64
73,Entry short,2026-02-23 15:50,ICE_S_20482,65704.8,0.004135,271.689348,6969.3,1.74,7165.58,1.79,-5514.89,-1.38,81983.14,1.64
74,Exit short,2026-02-24 02:36,ICE_L_21136,64494.7,0.004111,271.6783127,9232.67,2.31,9427.81,2.36,-3179.06,-0.79,91415.77,1.83
74,Entry short,2026-02-23 18:32,ICE_S_20584,66085.7,0.004111,271.6783127,9232.67,2.31,9427.81,2.36,-3179.06,-0.79,91415.77,1.83
75,Exit short,2026-02-24 02:36,ICE_L_21136,64494.7,0.004108,271.7314652,9595.82,2.40,9790.82,2.45,-2806.85,-0.70,101211.58,2.02
75,Entry short,2026-02-23 18:32,ICE_S_20715,66146.9,0.004108,271.7314652,9595.82,2.40,9790.82,2.45,-2806.85,-0.70,101211.58,2.02
76,Exit short,2026-02-24 02:36,ICE_L_21136,64494.7,0.004105,271.7308855,9879.92,2.47,10074.78,2.52,-2513.69,-0.63,111291.49,2.23
76,Entry short,2026-02-23 18:33,ICE_S_20560,66195.1,0.004105,271.7308855,9879.92,2.47,10074.78,2.52,-2513.69,-0.63,111291.49,2.23
77,Exit long,2026-02-24 10:20,Open,64180,0.004213,271.7161711,-2353.54,-0.59,3812.41,0.95,-7115.4,-1.78,107738.04,2.15
77,Entry long,2026-02-24 02:36,ICE_L_21136,64494.7,0.004213,271.7161711,-2353.54,-0.59,3812.41,0.95,-7115.4,-1.78,107738.04,2.15
78,Exit long,2026-02-24 10:20,Open,64180,0.00423,271.695015,-714.92,-0.18,5473.67,1.37,-5495.99,-1.37,109376.66,2.19
78,Entry long,2026-02-24 02:51,ICE_L_5314,64230.5,0.00423,271.695015,-714.92,-0.18,5473.67,1.37,-5495.99,-1.37,109376.66,2.19
79,Exit long,2026-02-24 10:20,Open,64180,0.004231,271.3585698,-124.47,-0.03,512.22,0.13,-4906.67,-1.23,109967.11,2.20
79,Entry long,2026-02-24 10:15,ICE_L_21594,64135.8,0.004231,271.3585698,-124.47,-0.03,512.22,0.13,-4906.67,-1.23,109967.11,2.20
80,Exit long,2026-02-24 10:20,Open,64180,0.004253,271.3605385,1952.82,0.49,2592.81,0.65,-2854.25,-0.71,112044.39,2.24
80,Entry long,2026-02-24 10:16,ICE_L_5422,63804.5,0.004253,271.3605385,1952.82,0.49,2592.81,0.65,-2854.25,-0.71,112044.39,2.24
81,Exit long,2026-02-24 10:20,Open,64180,0.004261,271.3643416,2703.64,0.68,3344.84,0.84,-2112.47,-0.53,112795.22,2.26
81,Entry long,2026-02-24 10:16,ICE_L_5435,63685.6,0.004261,271.3643416,2703.64,0.68,3344.84,0.84,-2112.47,-0.53,112795.22,2.26
82,Exit long,2026-02-24 10:20,Open,64180,0.004281,271.3546098,4609.07,1.15,5253.28,1.31,-229.65,-0.06,114700.65,2.29
82,Entry long,2026-02-24 10:17,ICE_L_20283,63385.8,0.004281,271.3546098,4609.07,1.15,5253.28,1.31,-229.65,-0.06,114700.65,2.29